 sig=    1.000000000000000     
 dt=   1.0000000000000001E-009
 steps=      2000000
 x0=   0.1400000000000000         1.396200000000000      
    9.593700000000000     
 u=    1000000.000000000     
 v_perp=    4300000.000000000     
 
istep         r       z        zeta
      50    8.8542442235E-01   -8.9681180874E-02    9.6476793012E+00
     100    8.8707131114E-01   -8.1888050373E-02    9.7041483508E+00
     150    8.8918156481E-01   -7.3555979843E-02    9.7619822509E+00
     200    8.9177856743E-01   -6.4657531923E-02    9.8211358456E+00
     250    8.9488695126E-01   -5.5163245204E-02    9.8815566074E+00
     300    8.9853287192E-01   -4.5041254737E-02    9.9431850885E+00
     350    9.0274399622E-01   -3.4257189369E-02    1.0005955515E+01
     400    9.0754912897E-01   -2.2774450134E-02    1.0069796484E+01
     450    9.1297745804E-01   -1.0554928568E-02    1.0134631709E+01
     500    9.1905745748E-01    2.4398351197E-03    1.0200380773E+01
     550    9.2581554202E-01    1.6247112658E-02    1.0266959844E+01
     600    9.3327459931E-01    3.0901170179E-02    1.0334282346E+01
     650    9.4145253558E-01    4.6431296291E-02    1.0402259588E+01
     700    9.5036095599E-01    6.2859794701E-02    1.0470801407E+01
     750    9.6000407279E-01    8.0200036445E-02    1.0539816871E+01
     800    9.7037790169E-01    9.8454636654E-02    1.0609215098E+01
     850    9.8146977829E-01    1.1761379994E-01    1.0678906177E+01
     900    9.9325820580E-01    1.3765387845E-01    1.0748802180E+01
     950    1.0057130320E+00    1.5853620952E-01    1.0818818193E+01
    1000    1.0187959418E+00    1.8020633328E-01    1.0888873337E+01
    1050    1.0324612347E+00    2.0259371367E-01    1.0958891726E+01
    1100    1.0466568313E+00    2.2561207667E-01    1.1028803352E+01
    1150    1.0613254244E+00    2.4916043035E-01    1.1098544852E+01
    1200    1.0764056597E+00    2.7312475220E-01    1.1168060139E+01
    1250    1.0918332292E+00    2.9738024404E-01    1.1237300842E+01
    1300    1.1075417642E+00    3.2179398743E-01    1.1306226532E+01
    1350    1.1234634553E+00    3.4622779510E-01    1.1374804734E+01
    1400    1.1395293618E+00    3.7054104806E-01    1.1443010744E+01
    1450    1.1556694193E+00    3.9459332575E-01    1.1510827285E+01
    1500    1.1718121854E+00    4.1824667008E-01    1.1578244055E+01
    1550    1.1878843898E+00    4.4136736934E-01    1.1645257204E+01
    1600    1.2038103700E+00    4.6382720006E-01    1.1711868772E+01
    1650    1.2195114876E+00    4.8550412200E-01    1.1778086119E+01
    1700    1.2349056226E+00    5.0628247767E-01    1.1843921349E+01
    1750    1.2499068443E+00    5.2605279653E-01    1.1909390761E+01
    1800    1.2644253504E+00    5.4471133849E-01    1.1974514317E+01
    1850    1.2783677484E+00    5.6215952811E-01    1.2039315159E+01
    1900    1.2916377275E+00    5.7830342722E-01    1.2103819162E+01
    1950    1.3041371426E+00    5.9305337367E-01    1.2168054545E+01
    2000    1.3157674905E+00    6.0632388045E-01    1.2232051541E+01
    2050    1.3264317315E+00    6.1803384972E-01    1.2295842111E+01
    2100    1.3360363725E+00    6.2810711434E-01    1.2359459719E+01
    2150    1.3444937112E+00    6.3647328210E-01    1.2422939137E+01
    2200    1.3517241206E+00    6.4306882630E-01    1.2486316288E+01
    2250    1.3576582530E+00    6.4783834479E-01    1.2549628105E+01
    2300    1.3622390437E+00    6.5073589681E-01    1.2612912409E+01
    2350    1.3654234079E+00    6.5172632509E-01    1.2676207794E+01
    2400    1.3671835393E+00    6.5078647799E-01    1.2739553515E+01
    2450    1.3675077486E+00    6.4790626250E-01    1.2802989376E+01
    2500    1.3664008024E+00    6.4308948109E-01    1.2866555608E+01
    2550    1.3638837587E+00    6.3635443105E-01    1.2930292742E+01
    2600    1.3599933264E+00    6.2773426761E-01    1.2994241456E+01
    2650    1.3547808002E+00    6.1727714998E-01    1.3058442415E+01
    2700    1.3483106506E+00    6.0504619729E-01    1.3122936078E+01
    2750    1.3406588609E+00    5.9111928038E-01    1.3187762493E+01
    2800    1.3319111148E+00    5.7558866645E-01    1.3252961052E+01
    2850    1.3221609413E+00    5.5856051858E-01    1.3318570210E+01
    2900    1.3115079163E+00    5.4015423481E-01    1.3384627157E+01
    2950    1.3000560030E+00    5.2050159302E-01    1.3451167422E+01
    3000    1.2879120915E+00    4.9974565432E-01    1.3518224414E+01
    3050    1.2751847649E+00    4.7803937116E-01    1.3585828896E+01
    3100    1.2619832892E+00    4.5554385404E-01    1.3654008404E+01
    3150    1.2484168019E+00    4.3242627373E-01    1.3722786623E+01
    3200    1.2345936574E+00    4.0885741394E-01    1.3792182732E+01
    3250    1.2206208827E+00    3.8500893527E-01    1.3862210725E+01
    3300    1.2066036971E+00    3.6105045505E-01    1.3932878730E+01
    3350    1.1926450499E+00    3.3714657831E-01    1.4004188335E+01
    3400    1.1788451329E+00    3.1345402520E-01    1.4076133951E+01
    3450    1.1653008207E+00    2.9011899005E-01    1.4148702237E+01
    3500    1.1521050017E+00    2.6727484053E-01    1.4221871650E+01
    3550    1.1393457671E+00    2.4504023326E-01    1.4295612143E+01
    3600    1.1271054581E+00    2.2351769071E-01    1.4369885056E+01
    3650    1.1154595965E+00    2.0279265899E-01    1.4444643190E+01
    3700    1.1044757683E+00    1.8293304851E-01    1.4519831072E+01
    3750    1.0942125638E+00    1.6398924948E-01    1.4595385376E+01
    3800    1.0847187002E+00    1.4599461225E-01    1.4671235494E+01
    3850    1.0760324642E+00    1.2896638652E-01    1.4747304226E+01
    3900    1.0681815860E+00    1.1290711763E-01    1.4823508585E+01
    3950    1.0611836151E+00    9.7806491328E-02    1.4899760691E+01
    4000    1.0550467919E+00    8.3643590177E-02    1.4975968731E+01
    4050    1.0497713314E+00    7.0389471494E-02    1.5052037968E+01
    4100    1.0453509576E+00    5.8009908904E-02    1.5127871795E+01
    4150    1.0417744874E+00    4.6468078013E-02    1.5203372835E+01
    4200    1.0390272518E+00    3.5726936485E-02    1.5278444107E+01
    4250    1.0370921833E+00    2.5751065999E-02    1.5352990258E+01
    4300    1.0359504613E+00    1.6507810190E-02    1.5426918842E+01
    4350    1.0355816927E+00    7.9676454226E-03    1.5500141588E+01
    4400    1.0359636856E+00    1.0383773023E-04    1.5572575596E+01
    4450    1.0370719389E+00   -7.1084545172E-03    1.5644144363E+01
    4500    1.0388790138E+00   -1.3693396867E-02    1.5714778600E+01
    4550    1.0413539612E+00   -1.9675746448E-02    1.5784416788E+01
    4600    1.0444619546E+00   -2.5081920117E-02    1.5853005453E+01
    4650    1.0481642302E+00   -2.9940673041E-02    1.5920499171E+01
    4700    1.0524183671E+00   -3.4283289005E-02    1.5986860346E+01
    4750    1.0571788721E+00   -3.8143284421E-02    1.6052058782E+01
    4800    1.0623979863E+00   -4.1555715879E-02    1.6116071145E+01
    4850    1.0680265978E+00   -4.4556239013E-02    1.6178880362E+01
    4900    1.0740151470E+00   -4.7180087175E-02    1.6240475023E+01
    4950    1.0803144314E+00   -4.9461124687E-02    1.6300848818E+01
    5000    1.0868762487E+00   -5.1431091343E-02    1.6360000028E+01
    5050    1.0936538539E+00   -5.3119105214E-02    1.6417931065E+01
    5100    1.1006022374E+00   -5.4551441623E-02    1.6474648043E+01
    5150    1.1076782546E+00   -5.5751565798E-02    1.6530160366E+01
    5200    1.1148406489E+00   -5.6740369508E-02    1.6584480319E+01
    5250    1.1220500136E+00   -5.7536548524E-02    1.6637622651E+01
    5300    1.1292687314E+00   -5.8157055976E-02    1.6689604159E+01
    5350    1.1364609238E+00   -5.8617573266E-02    1.6740443272E+01
    5400    1.1435924286E+00   -5.8932951727E-02    1.6790159644E+01
    5450    1.1506308152E+00   -5.9117591504E-02    1.6838773770E+01
    5500    1.1575454379E+00   -5.9185737203E-02    1.6886306624E+01
    5550    1.1643075202E+00   -5.9151681201E-02    1.6932779332E+01
    5600    1.1708902623E+00   -5.9029874655E-02    1.6978212879E+01
    5650    1.1772689584E+00   -5.8834953007E-02    1.7022627857E+01
    5700    1.1834211152E+00   -5.8581687363E-02    1.7066044243E+01
    5750    1.1893265597E+00   -5.8284875843E-02    1.7108481224E+01
    5800    1.1949675309E+00   -5.7959190211E-02    1.7149957054E+01
    5850    1.2003287477E+00   -5.7618993151E-02    1.7190488944E+01
    5900    1.2053974502E+00   -5.7278140741E-02    1.7230092990E+01
    5950    1.2101634125E+00   -5.6949783262E-02    1.7268784126E+01
    6000    1.2146189260E+00   -5.6646175639E-02    1.7306576109E+01
    6050    1.2187587539E+00   -5.6378506758E-02    1.7343481522E+01
    6100    1.2225800592E+00   -5.6156754698E-02    1.7379511802E+01
    6150    1.2260823078E+00   -5.5989572777E-02    1.7414677279E+01
    6200    1.2292671499E+00   -5.5884209250E-02    1.7448987230E+01
    6250    1.2321382830E+00   -5.5846461605E-02    1.7482449946E+01
    6300    1.2347013000E+00   -5.5880664782E-02    1.7515072796E+01
    6350    1.2369635254E+00   -5.5989711302E-02    1.7546862303E+01
    6400    1.2389338441E+00   -5.6175100214E-02    1.7577824220E+01
    6450    1.2406225250E+00   -5.6437011051E-02    1.7607963599E+01
    6500    1.2420410433E+00   -5.6774398499E-02    1.7637284867E+01
    6550    1.2432019039E+00   -5.7185103298E-02    1.7665791894E+01
    6600    1.2441184692E+00   -5.7665974880E-02    1.7693488057E+01
    6650    1.2448047920E+00   -5.8213001467E-02    1.7720376301E+01
    6700    1.2452754572E+00   -5.8821443650E-02    1.7746459196E+01
    6750    1.2455454321E+00   -5.9485967884E-02    1.7771738984E+01
    6800    1.2456299276E+00   -6.0200776816E-02    1.7796217627E+01
    6850    1.2455442700E+00   -6.0959733857E-02    1.7819896849E+01
    6900    1.2453037851E+00   -6.1756479905E-02    1.7842778169E+01
    6950    1.2449236936E+00   -6.2584540615E-02    1.7864862933E+01
    7000    1.2444190185E+00   -6.3437423096E-02    1.7886152340E+01
    7050    1.2438045036E+00   -6.4308701300E-02    1.7906647470E+01
    7100    1.2430945435E+00   -6.5192089785E-02    1.7926349296E+01
    7150    1.2423031235E+00   -6.6081505840E-02    1.7945258709E+01
    7200    1.2414437692E+00   -6.6971120260E-02    1.7963376525E+01
    7250    1.2405295056E+00   -6.7855397288E-02    1.7980703501E+01
    7300    1.2395728235E+00   -6.8729124415E-02    1.7997240342E+01
    7350    1.2385856539E+00   -6.9587432878E-02    1.8012987710E+01
    7400    1.2375793480E+00   -7.0425809795E-02    1.8027946230E+01
    7450    1.2365646637E+00   -7.1240102916E-02    1.8042116492E+01
    7500    1.2355517564E+00   -7.2026519014E-02    1.8055499058E+01
    7550    1.2345501743E+00   -7.2781616912E-02    1.8068094461E+01
    7600    1.2335688567E+00   -7.3502296129E-02    1.8079903209E+01
    7650    1.2326161358E+00   -7.4185782075E-02    1.8090925785E+01
    7700    1.2316997398E+00   -7.4829608652E-02    1.8101162647E+01
    7750    1.2308267991E+00   -7.5431599073E-02    1.8110614227E+01
    7800    1.2300038522E+00   -7.5989845597E-02    1.8119280934E+01
    7850    1.2292368538E+00   -7.6502688836E-02    1.8127163150E+01
    7900    1.2285311826E+00   -7.6968697173E-02    1.8134261229E+01
    7950    1.2278916496E+00   -7.7386646793E-02    1.8140575501E+01
    8000    1.2273225063E+00   -7.7755502731E-02    1.8146106264E+01
