 sig=    1.000000000000000     
 dt=   1.0000000000000001E-009
 steps=      1000000
 x0=   0.1400000000000000         1.396200000000000      
    9.593700000000000     
 u=    50000.00000000000     
 v_perp=    600000.0000000000     
 
istep         r       z        zeta
     100    8.8451398073E-01    1.8526650578E-01    9.5991268077E+00
     200    8.8479710627E-01    1.8637930936E-01    9.6047174519E+00
     300    8.8508505838E-01    1.8750467154E-01    9.6104178660E+00
     400    8.8537803003E-01    1.8864258405E-01    9.6162282478E+00
     500    8.8567621841E-01    1.8979303700E-01    9.6221487898E+00
     600    8.8597982491E-01    1.9095601874E-01    9.6281796792E+00
     700    8.8628905513E-01    1.9213151584E-01    9.6343210976E+00
     800    8.8660411888E-01    1.9331951296E-01    9.6405732205E+00
     900    8.8692523010E-01    1.9451999286E-01    9.6469362172E+00
    1000    8.8725260696E-01    1.9573293624E-01    9.6534102503E+00
    1100    8.8758647177E-01    1.9695832178E-01    9.6599954757E+00
    1200    8.8792705104E-01    1.9819612593E-01    9.6666920418E+00
    1300    8.8827457545E-01    1.9944632297E-01    9.6735000897E+00
    1400    8.8862927989E-01    2.0070888486E-01    9.6804197527E+00
    1500    8.8899140347E-01    2.0198378117E-01    9.6874511559E+00
    1600    8.8936118953E-01    2.0327097907E-01    9.6945944159E+00
    1700    8.8973888571E-01    2.0457044315E-01    9.7018496406E+00
    1800    8.9012474394E-01    2.0588213545E-01    9.7092169291E+00
    1900    8.9051902056E-01    2.0720601531E-01    9.7166963710E+00
    2000    8.9092197627E-01    2.0854203936E-01    9.7242880462E+00
    2100    8.9133387632E-01    2.0989016134E-01    9.7319920249E+00
    2200    8.9175499048E-01    2.1125033213E-01    9.7398083671E+00
    2300    8.9218559319E-01    2.1262249962E-01    9.7477371224E+00
    2400    8.9262596363E-01    2.1400660860E-01    9.7557783298E+00
    2500    8.9307638582E-01    2.1540260073E-01    9.7639320171E+00
    2600    8.9353714878E-01    2.1681041440E-01    9.7721982012E+00
    2700    8.9400854660E-01    2.1822998468E-01    9.7805768876E+00
    2800    8.9449087860E-01    2.1966124320E-01    9.7890680702E+00
    2900    8.9498444950E-01    2.2110411807E-01    9.7976717309E+00
    3000    8.9548956958E-01    2.2255853375E-01    9.8063878399E+00
    3100    8.9600655480E-01    2.2402441098E-01    9.8152163550E+00
    3200    8.9653572705E-01    2.2550166665E-01    9.8241572219E+00
    3300    8.9707741430E-01    2.2699021367E-01    9.8332103735E+00
    3400    8.9763195082E-01    2.2848996087E-01    9.8423757302E+00
