 sig=    1.000000000000000     
 dt=   1.0000000000000000E-010
 steps=      5000000
 x0=   0.1970000000000000         3.110000000000000      
    9.520000000000000     
 u=    500000.0000000000     
 v_perp=    3400000.000000000     
 
time(s)         r       z        zeta      s
    9.9000000000E-09    5.3775692211E-01    1.8824478735E-02    9.5276191310E+00    1.9700001552E-01
    1.9900000000E-08    5.3780903550E-01    2.0712496026E-02    9.5353155267E+00    1.9700003551E-01
    2.9900000000E-08    5.3786551966E-01    2.2600768696E-02    9.5430124306E+00    1.9700005984E-01
    3.9900000000E-08    5.3792638000E-01    2.4489345331E-02    9.5507100459E+00    1.9700008851E-01
    4.9900000000E-08    5.3799162272E-01    2.6378274302E-02    9.5584085758E+00    1.9700012152E-01
    5.9900000000E-08    5.3806125484E-01    2.8267603750E-02    9.5661082232E+00    1.9700015887E-01
    6.9900000000E-08    5.3813528421E-01    3.0157381572E-02    9.5738091908E+00    1.9700020057E-01
    7.9900000000E-08    5.3821371945E-01    3.2047655413E-02    9.5815116809E+00    1.9700024662E-01
    8.9900000000E-08    5.3829657004E-01    3.3938472651E-02    9.5892158959E+00    1.9700029702E-01
    9.9900000000E-08    5.3838384625E-01    3.5829880388E-02    9.5969220377E+00    1.9700035178E-01
    1.0990000000E-07    5.3847555916E-01    3.7721925434E-02    9.6046303082E+00    1.9700041090E-01
    1.1990000000E-07    5.3857172070E-01    3.9614654305E-02    9.6123409090E+00    1.9700047438E-01
    1.2990000000E-07    5.3867234359E-01    4.1508113207E-02    9.6200540419E+00    1.9700054223E-01
    1.3990000000E-07    5.3877744140E-01    4.3402348026E-02    9.6277699081E+00    1.9700061446E-01
    1.4990000000E-07    5.3888702851E-01    4.5297404323E-02    9.6354887091E+00    1.9700069106E-01
    1.5990000000E-07    5.3900112014E-01    4.7193327319E-02    9.6432106462E+00    1.9700077205E-01
    1.6990000000E-07    5.3911973233E-01    4.9090161887E-02    9.6509359205E+00    1.9700085744E-01
    1.7990000000E-07    5.3924288197E-01    5.0987952544E-02    9.6586647332E+00    1.9700094723E-01
    1.8990000000E-07    5.3937058679E-01    5.2886743440E-02    9.6663972857E+00    1.9700104142E-01
    1.9990000000E-07    5.3950286536E-01    5.4786578347E-02    9.6741337791E+00    1.9700114003E-01
    2.0990000000E-07    5.3963973710E-01    5.6687500647E-02    9.6818744148E+00    1.9700124307E-01
    2.1990000000E-07    5.3978122227E-01    5.8589553324E-02    9.6896193941E+00    1.9700135054E-01
    2.2990000000E-07    5.3992734201E-01    6.0492778949E-02    9.6973689184E+00    1.9700146246E-01
    2.3990000000E-07    5.4007811830E-01    6.2397219670E-02    9.7051231893E+00    1.9700157882E-01
    2.4990000000E-07    5.4023357401E-01    6.4302917197E-02    9.7128824084E+00    1.9700169966E-01
    2.5990000000E-07    5.4039373285E-01    6.6209912788E-02    9.7206467776E+00    1.9700182497E-01
    2.6990000000E-07    5.4055861942E-01    6.8118247238E-02    9.7284164986E+00    1.9700195476E-01
    2.7990000000E-07    5.4072825921E-01    7.0027960855E-02    9.7361917735E+00    1.9700208905E-01
    2.8990000000E-07    5.4090267857E-01    7.1939093453E-02    9.7439728044E+00    1.9700222785E-01
    2.9990000000E-07    5.4108190476E-01    7.3851684328E-02    9.7517597935E+00    1.9700237118E-01
    3.0990000000E-07    5.4126596591E-01    7.5765772242E-02    9.7595529432E+00    1.9700251904E-01
    3.1990000000E-07    5.4145489108E-01    7.7681395403E-02    9.7673524558E+00    1.9700267145E-01
    3.2990000000E-07    5.4164871019E-01    7.9598591444E-02    9.7751585338E+00    1.9700282842E-01
    3.3990000000E-07    5.4184745409E-01    8.1517397405E-02    9.7829713795E+00    1.9700298997E-01
    3.4990000000E-07    5.4205115453E-01    8.3437849705E-02    9.7907911956E+00    1.9700315611E-01
    3.5990000000E-07    5.4225984418E-01    8.5359984127E-02    9.7986181842E+00    1.9700332685E-01
    3.6990000000E-07    5.4247355662E-01    8.7283835787E-02    9.8064525479E+00    1.9700350221E-01
    3.7990000000E-07    5.4269232633E-01    8.9209439113E-02    9.8142944886E+00    1.9700368221E-01
    3.8990000000E-07    5.4291618874E-01    9.1136827824E-02    9.8221442085E+00    1.9700386685E-01
    3.9990000000E-07    5.4314518019E-01    9.3066034896E-02    9.8300019092E+00    1.9700405616E-01
    4.0990000000E-07    5.4337933791E-01    9.4997092545E-02    9.8378677923E+00    1.9700425016E-01
    4.1990000000E-07    5.4361870011E-01    9.6930032196E-02    9.8457420587E+00    1.9700444884E-01
    4.2990000000E-07    5.4386330589E-01    9.8864884460E-02    9.8536249093E+00    1.9700465224E-01
    4.3990000000E-07    5.4411319529E-01    1.0080167910E-01    9.8615165441E+00    1.9700486037E-01
    4.4990000000E-07    5.4436840925E-01    1.0274044503E-01    9.8694171630E+00    1.9700507325E-01
    4.5990000000E-07    5.4462898966E-01    1.0468121025E-01    9.8773269648E+00    1.9700529088E-01
    4.6990000000E-07    5.4489497934E-01    1.0662400184E-01    9.8852461481E+00    1.9700551330E-01
